algorithm,input_bytes,pattern,iterations,total_ns,ns_per_op,throughput_mbs
ahash,1024,low_entropy,3631104,200046875,55.09257652768965,18586.896176208702
ahash,1024,repeating,3645440,200043334,54.87494897735253,18660.60960571673
ahash,4096,random,760832,200058167,262.94657296223085,15577.308933356366
ahash,4096,low_entropy,770048,200047209,259.7853757168384,15766.861351212352
ahash,4096,repeating,685056,200196958,292.2344421477952,14016.14392162742
ahash,16384,random,188416,200740375,1065.410448157269,15378.110875801642
ahash,16384,low_entropy,187392,200582500,1070.3898779030055,15306.57224832675
ahash,16384,repeating,185344,200928042,1084.0817183183701,15113.251817782608
ahash,65536,random,47104,204048166,4331.864937160326,15128.818869168372
ahash,65536,low_entropy,47104,203699667,4324.466435971467,15154.701966204
ahash,65536,repeating,47104,202521125,4299.446437669837,15242.89253281602
gxhash,8,random,77981696,200001000,2.56471723826063,3119.252243738781
gxhash,8,low_entropy,77027328,200001250,2.5964973106687537,3081.0738632883545
gxhash,8,repeating,77470720,200001667,2.58164203198318,3098.802971477233
gxhash,16,random,77828096,200001792,2.5697890900478924,6226.191893320635
gxhash,16,low_entropy,77658112,200000500,2.5753974034290197,6212.633428416429
gxhash,16,repeating,78183424,200000667,2.5580955241868146,6254.653060732043
gxhash,32,random,77550592,200000125,2.5789632269989635,12408.086964945647
gxhash,32,low_entropy,78183424,200002291,2.5581162958531976,12509.204547061914
gxhash,32,repeating,78077952,200000334,2.5615468756147703,12492.451457606066
gxhash,64,random,66722816,200000333,2.997480397110338,21351.265570142823
gxhash,64,low_entropy,66655232,200001833,3.000542147989223,21329.47875532721
gxhash,64,repeating,65905664,200001500,3.034663302990165,21089.654307592693
gxhash,256,random,30714880,200004458,6.511647058363894,39314.17008714876
gxhash,256,low_entropy,30795776,200002625,6.494482392650212,39418.07591775358
gxhash,256,repeating,30517248,200003958,6.553800591717838,39061.30441678559
gxhash,1024,random,12478464,200004750,16.027994310838256,63888.21833481455
gxhash,1024,low_entropy,12873728,200002375,15.535699915362512,65912.70464663232
gxhash,1024,repeating,12964864,200008500,15.42696475643709,66377.28264548756
gxhash,4096,random,3923968,200052209,50.98212039445785,80341.89179085745
gxhash,4096,low_entropy,3915776,200040917,51.0858938304949,80178.68912288579
